step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,PAYMENT,8786.45,C2019840540,2435,0,M1733424208,0,0,0,0
8,PAYMENT,12920.55,C441606287,100,0,M1060393794,0,0,0,0
8,PAYMENT,4467.07,C1696203274,4782,314.93,M226593165,0,0,0,0
8,PAYMENT,1456.03,C81708714,314.93,0,M426584880,0,0,0,0
8,CASH_OUT,235215.13,C751988805,154455,0,C448155494,14993,1451241.25,0,0
8,PAYMENT,749.84,C756959667,13922,13172.16,M1594302764,0,0,0,0
8,PAYMENT,17514.74,C792966487,2792,0,M271366306,0,0,0,0
8,CASH_OUT,28983.66,C1327511749,202846.96,173863.3,C348708793,221387.76,1164655.76,0,0
8,PAYMENT,7928,C692616780,173863.3,165935.31,M462659391,0,0,0,0
8,PAYMENT,4634.43,C1846533447,165935.31,161300.87,M547825235,0,0,0,0
8,PAYMENT,28567.77,C1249347093,161300.87,132733.11,M1301971459,0,0,0,0
8,PAYMENT,2739.45,C1567595282,132733.11,129993.65,M1155771218,0,0,0,0
8,PAYMENT,16618.88,C844290805,129993.65,113374.78,M734120998,0,0,0,0
8,PAYMENT,1322.29,C181892423,113374.78,112052.49,M1404561012,0,0,0,0
8,PAYMENT,22990.45,C2006326149,112052.49,89062.04,M1376999853,0,0,0,0
8,PAYMENT,14089.3,C1667199973,89062.04,74972.73,M255307196,0,0,0,0
8,PAYMENT,19241.18,C1211815404,74972.73,55731.55,M11285367,0,0,0,0
8,PAYMENT,1270.17,C410298588,55731.55,54461.37,M714914851,0,0,0,0
8,PAYMENT,6857.22,C882346281,54461.37,47604.16,M1438724935,0,0,0,0
8,PAYMENT,19538.14,C1749959531,47604.16,28066.02,M662472677,0,0,0,0
8,PAYMENT,10465.19,C791317730,28066.02,17600.83,M1932384587,0,0,0,0
8,PAYMENT,2065.29,C1776458078,17600.83,15535.55,M719480872,0,0,0,0
8,PAYMENT,17716.19,C1372892170,15535.55,0,M1278136570,0,0,0,0
8,PAYMENT,1811.58,C838568008,0,0,M148964727,0,0,0,0
8,PAYMENT,10373.73,C2082561181,0,0,M1177742051,0,0,0,0
8,PAYMENT,4745.21,C728142757,0,0,M724365571,0,0,0,0
8,PAYMENT,1673.25,C1562346831,0,0,M212535805,0,0,0,0
8,PAYMENT,267.54,C332351606,0,0,M1596397541,0,0,0,0
8,PAYMENT,3368.74,C2117321907,0,0,M713285225,0,0,0,0
8,CASH_IN,8369.71,C1139195831,12199,20568.71,C2032389005,32901,0,0,0
8,PAYMENT,27443.45,C614010897,20568.71,0,M1156533869,0,0,0,0
8,PAYMENT,17706.53,C1881911311,0,0,M105292474,0,0,0,0
8,PAYMENT,1249.32,C1781736443,81202,79952.68,M1410438390,0,0,0,0
8,PAYMENT,10986.32,C2039999923,20463,9476.68,M1257755465,0,0,0,0
8,PAYMENT,2398.71,C958930199,9476.68,7077.97,M1640401120,0,0,0,0
8,PAYMENT,8984.02,C662309662,7077.97,0,M1399060771,0,0,0,0
8,CASH_OUT,237396.51,C718968573,10935,0,C1262822392,2.12E+07,2.26E+07,0,0
8,PAYMENT,6892.78,C2131663566,35017,28124.22,M148589770,0,0,0,0
8,PAYMENT,23456.48,C1144854035,28124.22,4667.74,M984489239,0,0,0,0
8,CASH_OUT,450232.96,C830285926,51452,0,C2115055717,65256.4,9447.15,0,0
8,TRANSFER,895279.82,C1670549407,10435,0,C1166654566,42751,851662.52,0,0
8,PAYMENT,9917.79,C1328775280,271,0,M88042020,0,0,0,0
8,PAYMENT,8326.39,C1574522109,292735.02,284408.63,M717278894,0,0,0,0
8,PAYMENT,12592.32,C2032401286,284408.63,271816.31,M129220812,0,0,0,0
8,PAYMENT,1068.66,C270195299,4209,3140.34,M1015272304,0,0,0,0
8,CASH_IN,142164.5,C1520099501,21542,163706.5,C1007717381,0,1464101.1,0,0
8,CASH_OUT,144636.12,C1136062098,52814,0,C1240091493,0,295641.8,0,0
8,CASH_IN,49454.84,C96070981,2290,51744.84,C1396297158,93751.62,185524.89,0,0
8,PAYMENT,4783.62,C662943441,57732,52948.38,M705803524,0,0,0,0
8,CASH_OUT,150411.61,C1579621546,52948.38,0,C978740207,1090287.11,1428005.14,0,0
8,CASH_OUT,254656.44,C347996654,0,0,C115885991,607074.34,4215505.1,0,0
8,CASH_OUT,214747.4,C774965398,66869,0,C587433505,16834,202287.16,0,0
8,CASH_IN,48265.24,C162476481,51233,99498.24,C1637186972,0,0,0,0
8,PAYMENT,4648.49,C1863036434,99498.24,94849.74,M190739308,0,0,0,0
8,CASH_OUT,238061.48,C755875625,307383,69321.52,C778306577,0,1079400.17,0,0
8,PAYMENT,3648.52,C1574740592,5082,1433.48,M1863711975,0,0,0,0
8,PAYMENT,10206,C388507514,48125,37919,M1469855297,0,0,0,0
8,PAYMENT,5281.52,C1869332960,5010,0,M794421806,0,0,0,0
8,PAYMENT,15371.32,C2040269640,1245,0,M1334051844,0,0,0,0
8,PAYMENT,8865.99,C2119284949,20330,11464.01,M515450283,0,0,0,0
8,PAYMENT,25189.69,C124173183,11464.01,0,M1747790771,0,0,0,0
8,PAYMENT,12466.03,C457810291,32205,19738.97,M1284135884,0,0,0,0
8,CASH_OUT,33810.02,C2122693729,19738.97,0,C420561530,847439.38,366505.7,0,0
8,PAYMENT,1295.56,C2146726065,56232,54936.44,M694158341,0,0,0,0
8,TRANSFER,50411.59,C933920478,13283,0,C2046578329,93429.26,156065.37,0,0
8,PAYMENT,2577.12,C1688185598,7751,5173.88,M942812964,0,0,0,0
8,PAYMENT,1601.45,C299586571,973,0,M1977844832,0,0,0,0
8,PAYMENT,6743.24,C1823611000,0,0,M1171276229,0,0,0,0
8,PAYMENT,2978.52,C241184376,297739.09,294760.57,M1741253456,0,0,0,0
8,PAYMENT,2663.31,C465882633,294760.57,292097.26,M1549630173,0,0,0,0
8,CASH_OUT,50371.67,C1396804800,11930,0,C1548218207,29799,764838.79,0,0
8,TRANSFER,286234.3,C2147417619,52923,0,C242559404,7590.52,0,0,0
8,CASH_OUT,246779.54,C1115145059,3090,0,C1153596299,0,73427.85,0,0
8,PAYMENT,5455.5,C1967903330,51097,45641.5,M708011911,0,0,0,0
8,PAYMENT,8827.38,C582294196,19817,10989.62,M1579526490,0,0,0,0
8,CASH_OUT,247069.18,C1968613438,39607,0,C1924874046,0,148444.02,0,0
8,CASH_OUT,295507.69,C1147729484,1014,0,C1079343872,31543,0,0,0
8,PAYMENT,8962.76,C1317151951,0,0,M1025387324,0,0,0,0
8,PAYMENT,15782.13,C2110350329,0,0,M2114990234,0,0,0,0
8,PAYMENT,10559.12,C560715723,13761,3201.88,M1843420945,0,0,0,0
